plant_id,type
AMBR5,Forb/herb
AMCA,Forb/herb
AMCA2,Forb/herb
AMCA3,Forb/herb
AMCR,Forb/herb
AMCRC,Forb/herb
AMCRW,Forb/herb
AMCR2,Forb/herb
AMCR4,Forb/herb
AMDE,Forb/herb
AMDU,Forb/herb
AMFI,Forb/herb
AMFL3,Forb/herb
AMGR13,Forb/herb
AMGRS,Forb/herb
AMGR2,Forb/herb
AMHY,Forb/herb
AMHY2,Forb/herb
AMLI2,Forb/herb
AMMA6,Forb/herb
AMMU3,Forb/herb
AMOB,Forb/herb
AMPA,Forb/herb
AMPO,Forb/herb
AMPO2,Forb/herb
AMPOB2,Forb/herb
AMPOP,Forb/herb
AMPR,Forb/herb
AMPU2,Forb/herb
AMRE,Forb/herb
AMSC,Forb/herb
AMSP,Forb/herb
AMTA,Forb/herb
AMTE9,Forb/herb
AMTH2,Forb/herb
AMTO6,Forb/herb
AMTR2,Forb/herb
AMTU,Forb/herb
AMTU2,Forb/herb
AMVE2,Forb/herb
AMVI,Forb/herb
AMWA,Forb/herb
AMWR,Forb/herb
AMBE3,Forb/herb
AMMO,Forb/herb
AMSE,Forb/herb
AMPU3,Forb/herb
AMAC2,Forb/herb
AMAR2,Forb/herb
AMARA2,Forb/herb
AMARE,Forb/herb
AMARP,Forb/herb
AMBI2,Forb/herb
AMCA7,Forb/herb
AMCH4,"Subshrub, Shrub, Forb/herb"
AMCH2,Forb/herb
AMCO3,Forb/herb
AMGR5,Forb/herb
AMHE3,Forb/herb
AMHI3,"Subshrub, Forb/herb"
AMIN,Forb/herb
AMPS,Forb/herb
AMPU4,Forb/herb
AMTE5,Forb/herb
AMTO3,Forb/herb
AMTR,"Subshrub, Forb/herb"
AMTRT,"Subshrub, Forb/herb"
AMTRT2,"Subshrub, Forb/herb"
AMRO,Forb/herb
AMMU,Forb/herb
AMAU2,Forb/herb
AMCO,"Forb/herb, Subshrub"
AMLA3,"Forb/herb, Subshrub"
AMRO3,Forb/herb
AMMA,Forb/herb
AMVI2,Forb/herb
AMCH3,Forb/herb
AMBU,Forb/herb
AMGI,Forb/herb
AMPO4,Forb/herb
AMGO,Forb/herb
AMPA3,Forb/herb
AMAM3,Forb/herb
AMDR,Forb/herb
AMPU7,Forb/herb
AMBR2,"Vine, Forb/herb"
AMBRB,"Forb/herb, Vine"
AMBRC,"Forb/herb, Vine"
AMCA8,Forb/herb
AMDO,Forb/herb
AMEA2,Forb/herb
AMGR3,Forb/herb
AMLU,Forb/herb
AMLY,Forb/herb
AMME,Forb/herb
AMMEI2,Forb/herb
AMMEM2,Forb/herb
AMSP3,Forb/herb
AMTE3,Forb/herb
AMTEG,Forb/herb
AMTET,Forb/herb
AMVE,Forb/herb
AMVEF,Forb/herb
AMVEV,Forb/herb
AMCI,Forb/herb
AMCIC,Forb/herb
AMCIT,Forb/herb
AMCIT2,Forb/herb
AMFU,Forb/herb
AMGR4,Forb/herb
AMHU,Forb/herb
AMIL,Forb/herb
AMJO,Forb/herb
AMKE,Forb/herb
AMLO,Forb/herb
AMLOL,Forb/herb
AMLOS,Forb/herb
AMLU2,Forb/herb
AMPA5,Forb/herb
AMPE,Forb/herb
AMRE3,Forb/herb
AMRI,Forb/herb
AMTA2,Forb/herb
AMTAG,Forb/herb
AMTAS,Forb/herb
AMTAT,Forb/herb
AMTH,"Subshrub, Forb/herb"
AMTO2,Forb/herb
AMTOS,Forb/herb
AMTOT,Forb/herb
ANCL2,Forb/herb
ANAR,Forb/herb
ANARA7,Forb/herb
ANARF,Forb/herb
ANMI4,Forb/herb
ANMO2,Forb/herb
ANPU4,Forb/herb
ANCO30,Forb/herb
ANMA,Forb/herb
ANAR16,Forb/herb
ANAZ,Forb/herb
ANBA3,Forb/herb
ANCA29,Forb/herb
ANOF,Forb/herb
ANFI3,Forb/herb
ANEC,Forb/herb
ANCH,Forb/herb
ANCHA,Forb/herb
ANCHC,Forb/herb
ANCHL,Forb/herb
ANEL2,Forb/herb
ANELA,Forb/herb
ANFI,Forb/herb
ANMA14,Forb/herb
ANOC2,Forb/herb
ANSE4,Forb/herb
ANSEG2,Forb/herb
ANSEP2,Forb/herb
ANSES3,Forb/herb
ANSES4,Forb/herb
ANSES5,Forb/herb
ANBR4,Forb/herb
ANCO9,Forb/herb
ANEU,Forb/herb
ANAD,Forb/herb
ANME,Forb/herb
ANWR4,Forb/herb
ANBE,Forb/herb
ANBL2,Forb/herb
ANCA8,Forb/herb
ANCA9,Forb/herb
ANCY,Forb/herb
ANDE3,Forb/herb
ANDR,Forb/herb
ANDRD,Forb/herb
ANDRH,Forb/herb
ANED2,Forb/herb
ANEDE,Forb/herb
ANEDP,Forb/herb
ANHU,Forb/herb
ANHUJ,Forb/herb
ANLA,Forb/herb
ANLI4,Forb/herb
ANLY,Forb/herb
ANMU4,Forb/herb
ANMU,Forb/herb
ANMUM3,Forb/herb
ANMUS,Forb/herb
ANMUS5,Forb/herb
ANMUT,Forb/herb
ANNA,Forb/herb
ANNAM2,Forb/herb
ANNAV3,Forb/herb
ANNAZ2,Forb/herb
ANNE4,Forb/herb
ANOR,Forb/herb
ANORF,Forb/herb
ANORO,Forb/herb
ANPA,Forb/herb
ANPAG,Forb/herb
ANPAP2,Forb/herb
ANPI,Forb/herb
ANQU,Forb/herb
ANQUB2,Forb/herb
ANQUM2,Forb/herb
ANQUQ,Forb/herb
ANRI,Forb/herb
ANTU,Forb/herb
ANTUT,Forb/herb
ANTUT2,Forb/herb
ANVI3,Forb/herb
ANVIA2,Forb/herb
ANVIC,Forb/herb
ANVIV2,Forb/herb
ANCA10,Forb/herb
ANGR2,Forb/herb
ANBE2,"Forb/herb, Vine"
ANAM,Forb/herb
ANAR3,Forb/herb
ANAT,Forb/herb
ANBR5,Forb/herb
ANCA32,Forb/herb
ANCA13,Forb/herb
ANCA11,Forb/herb
ANDA,Forb/herb
ANDE4,Forb/herb
ANGE2,Forb/herb
ANGR3,Forb/herb
ANHE,Forb/herb
ANKI,Forb/herb
ANLI2,Forb/herb
ANLU,Forb/herb
ANPI2,Forb/herb
ANRO,Forb/herb
ANSC9,Forb/herb
ANTO,Forb/herb
ANTR2,Forb/herb
ANVE,Forb/herb
ANWH,Forb/herb
ANAN5,Forb/herb
ANEV,Forb/herb
ANMA4,"Vine, Forb/herb"
ANMAN,"Forb/herb, Vine"
ANSC14,Forb/herb
ANAC,Forb/herb
ANCA46,"Forb/herb, Subshrub"
ANAB,"Subshrub, Forb/herb"
ANCR,Forb/herb
ANCR2,Forb/herb
ANLA4,"Subshrub, Forb/herb"
ANPE4,Forb/herb
ANRE2,Forb/herb
ANTH3,Forb/herb
ANSA2,Forb/herb
ANCO6,"Vine, Forb/herb"
ANVE2,"Vine, Forb/herb"
ANAL4,Forb/herb
ANAN2,Forb/herb
ANAR4,Forb/herb
ANAR5,Forb/herb
ANAR10,Forb/herb
ANCO,Forb/herb
ANDE9,Forb/herb
ANDI2,"Subshrub, Forb/herb"
ANDI3,Forb/herb
ANFL2,Forb/herb
ANFO,Forb/herb
ANFR,Forb/herb
ANFRA,Forb/herb
ANFRF,Forb/herb
ANFRN,Forb/herb
ANGE3,"Subshrub, Forb/herb"
ANHO,Forb/herb
ANHOC,Forb/herb
ANHOH,Forb/herb
ANHON,Forb/herb
ANHOP,Forb/herb
ANLA3,Forb/herb
ANLU2,"Subshrub, Forb/herb"
ANLUA2,"Forb/herb, Subshrub"
ANLUL,"Forb/herb, Subshrub"
ANMA6,Forb/herb
ANMA5,Forb/herb
ANME2,Forb/herb
ANMI3,Forb/herb
ANMO9,Forb/herb
ANMOA,Forb/herb
ANMOM,Forb/herb
ANNE,Forb/herb
ANOB3,Forb/herb
ANPA9,Forb/herb
ANPAF,Forb/herb
ANPAP,Forb/herb
ANPA4,Forb/herb
ANPL,Forb/herb
ANPU8,Forb/herb
ANPU,Forb/herb
ANPUP,Forb/herb
ANRA,Forb/herb
ANRO2,Forb/herb
ANROA,Forb/herb
ANROC,Forb/herb
ANROP,Forb/herb
ANROR,Forb/herb
ANRO3,Forb/herb
ANSO2,Forb/herb
ANSO,Forb/herb
ANST2,Forb/herb
ANSU3,"Subshrub, Forb/herb"
ANUM,Forb/herb
ANVI13,Forb/herb
ANAL11,Forb/herb
ANAR6,Forb/herb
ANAU3,Forb/herb
ANCO2,Forb/herb
ANSE6,Forb/herb
ANTI,Forb/herb
ANLA7,Forb/herb
ANWA,Forb/herb
ANCA14,Forb/herb
ANCE,Forb/herb
ANSY,Forb/herb
ANVU,Forb/herb
ANFL3,Forb/herb
ANMA3,Forb/herb
ANAN4,Forb/herb
ANER,Forb/herb
ANLE5,Forb/herb
ANLEG,Forb/herb
ANLEH,Forb/herb
ANLEL,Forb/herb
ANLEL2,Forb/herb
ANRE3,"Subshrub, Forb/herb"
APAR2,Forb/herb
APMI,Forb/herb
APBL,Forb/herb
APPI,Forb/herb
APRA,Forb/herb
APRAH,Forb/herb
APRAR,Forb/herb
APRI,"Subshrub, Forb/herb"
APSK,Forb/herb
APSKK,Forb/herb
APSKS,Forb/herb
APSKT,Forb/herb
APES,Forb/herb
APAN,Forb/herb
APAM,"Vine, Forb/herb"
