"plant_id","type"
"991","ALVE2","Forb/herb"
"1007","ALDR2","Forb/herb"
"1018","ALMU2","Forb/herb"
"1019","ALPU4","Forb/herb"
"1020","ALZE","Forb/herb"
"1029","ALHA2","Forb/herb"
"1030","ALPS","Forb/herb"
"1031","ALPU2","Forb/herb"
"1033","ALBE","Forb/herb"
"1034","ALBR5","Forb/herb"
"1035","ALCA5","Forb/herb"
"1036","ALFI8","Forb/herb"
"1037","ALFL","Forb/herb"
"1038","ALFL5","Forb/herb"
"1039","ALMA10","Forb/herb"
"1040","ALPA17","Forb/herb"
"1041","ALPAA2","Forb/herb"
"1042","ALPAP","Forb/herb"
"1043","ALPH","Forb/herb"
"1044","ALPU3","Forb/herb"
"1045","ALSE4","Forb/herb"
"1047","ALCA25","Forb/herb"
"1048","ALHI2","Forb/herb"
"1049","ALOF2","Forb/herb"
"1054","ALOV","Forb/herb"
"1055","ALRU4","Forb/herb"
"1056","ALVA2","Forb/herb"
"1058","ALAL3","Forb/herb"
"1059","ALCO16","Forb/herb"
"1060","ALDE","Forb/herb"
"1061","ALDED","Forb/herb"
"1062","ALDEH","Forb/herb"
"1063","ALMU","Forb/herb"
"1064","ALOB5","Forb/herb"
"1065","ALSI8","Forb/herb"
"1066","ALST2","Forb/herb"
"1067","ALSZ2","Forb/herb"
"1071","AMAC","Forb/herb"
"1072","AMAL","Forb/herb"
"1073","AMAR","Forb/herb"
"1074","AMAU","Forb/herb"
"1075","AMBI","Forb/herb"
"1076","AMBL","Forb/herb"
"1077","AMBL2","Forb/herb"
"1078","AMBLB","Forb/herb"
"1079","AMBLE2","Forb/herb"
"1080","AMBLP","Forb/herb"
"1081","AMBR5","Forb/herb"
"1082","AMCA","Forb/herb"
"1083","AMCA2","Forb/herb"
"1084","AMCA3","Forb/herb"
"1085","AMCR","Forb/herb"
"1086","AMCRC","Forb/herb"
"1087","AMCRW","Forb/herb"
"1088","AMCR2","Forb/herb"
"1089","AMCR4","Forb/herb"
"1090","AMDE","Forb/herb"
