"plant_id","type","type","present"
"511","AGVI5","Forb/herb","Forb/herb",1
"513","AGPR5","Forb/herb","Forb/herb",1
"517","AGBR","Subshrub, Forb/herb","Forb/herb",1
"518","AGCA","Subshrub, Forb/herb","Forb/herb",1
"519","AGCU","Subshrub, Forb/herb","Forb/herb",1
"520","AGFO","Subshrub, Forb/herb","Forb/herb",1
"521","AGME2","Subshrub, Forb/herb","Forb/herb",1
"522","AGMI","Subshrub, Forb/herb","Forb/herb",1
"523","AGNE2","Subshrub, Forb/herb","Forb/herb",1
"524","AGOC","Subshrub, Forb/herb","Forb/herb",1
"525","AGPA11","Subshrub, Forb/herb","Forb/herb",1
"526","AGPA","Subshrub, Forb/herb","Forb/herb",1
"527","AGPAN","Subshrub, Forb/herb","Forb/herb",1
"528","AGPAH3","Subshrub, Forb/herb","Forb/herb",1
"529","AGPAN2","Subshrub, Forb/herb","Forb/herb",1
"530","AGPAP2","Subshrub, Forb/herb","Forb/herb",1
"531","AGPAG3","Subshrub, Forb/herb","Forb/herb",1
"532","AGPAG4","Subshrub, Forb/herb","Forb/herb",1
"533","AGPAP4","Subshrub, Forb/herb","Forb/herb",1
"534","AGPA2","Subshrub, Forb/herb","Forb/herb",1
"535","AGPR3","Subshrub, Forb/herb","Forb/herb",1
"536","AGPRV","Subshrub, Forb/herb","Forb/herb",1
"537","AGRU","Subshrub, Forb/herb","Forb/herb",1
"538","AGSC","Subshrub, Forb/herb","Forb/herb",1
"539","AGUR","Subshrub, Forb/herb","Forb/herb",1
"540","AGURG","Subshrub, Forb/herb","Forb/herb",1
"541","AGURU","Subshrub, Forb/herb","Forb/herb",1
"542","AGWR","Subshrub, Forb/herb","Forb/herb",1
"544","AGAJ","Forb/herb, Shrub, Subshrub","Forb/herb",1
"545","AGAM","Subshrub, Shrub, Forb/herb","Forb/herb",1
"546","AGAMA","Subshrub, Shrub, Forb/herb","Forb/herb",1
"547","AGAMA2","Subshrub, Shrub, Forb/herb","Forb/herb",1
"548","AGAME","Subshrub, Shrub, Forb/herb","Forb/herb",1
"549","AGAMP","Subshrub, Shrub, Forb/herb","Forb/herb",1
"550","AGAR8","Forb/herb, Shrub, Subshrub","Forb/herb",1
"551","AGAS3","Shrub, Forb/herb, Subshrub","Forb/herb",1
"552","AGCH2","Subshrub, Shrub, Forb/herb","Forb/herb",1
"553","AGDE3","Subshrub, Shrub, Forb/herb","Forb/herb",1
"554","AGDE10","Forb/herb, Shrub, Subshrub","Forb/herb",1
"555","AGDE","Subshrub, Shrub, Forb/herb","Forb/herb",1
"556","AGDED","Subshrub, Shrub, Forb/herb","Forb/herb",1
"557","AGDES","Subshrub, Shrub, Forb/herb","Forb/herb",1
"558","AGDE4","Subshrub, Shrub, Forb/herb","Forb/herb",1
